time,latitude,longitude,depth,mag,ER,EG,EH
2024-11-15T15:32:01.170Z,19.185499191284,-155.45950317383,29.770000457764,2.3900001,169862765.32427955,48532218.664079875,24266109.332039937
2024-11-15T15:27:42.001Z,4.8002,125.5451,85.781,4.4,175832050205.67075,50237728630.19165,25118864315.095825
2024-11-15T15:13:12.679Z,36.1975,-97.29983333,8.02,1.36,4842816.796432554,1383661.9418378726,691830.9709189363
2024-11-15T15:02:19.532Z,27.3962,102.1391,10.0,4.4,175832050205.67075,50237728630.19165,25118864315.095825
2024-11-15T14:43:48.540Z,34.0148333,-117.0121667,18.4,1.2,2786750.1938744783,796214.341106994,398107.170553497
2024-11-15T14:37:56.210Z,46.677333333333,-111.43833333333,8.35,0.9,988776.2812359286,282507.5089245511,141253.75446227554
2024-11-15T14:35:03.210Z,38.83466720581,-122.81517028809,1.8400000333786,1.33,4366143.8483769335,1247469.6709648382,623734.8354824191
2024-11-15T14:23:24.149Z,36.19766667,-97.30266667,8.36,1.34,4519579.603242594,1291308.4580693126,645654.2290346563
2024-11-15T14:17:41.446Z,28.949,-98.301,6.543,2.9,988776281.2359246,282507508.92454994,141253754.46227497
2024-11-15T14:05:25.578Z,-23.4331,170.6896,13.882,4.9,988776281235.9287,282507508924.5511,141253754462.27554
2024-11-15T13:59:53.175Z,-4.7631,153.2967,59.861,4.3,124479558702.72458,35565588200.77846,17782794100.38923
2024-11-15T13:53:44.600Z,35.535,-96.76183333,4.26,-1.07,1096.7257490757038,313.3502140216297,156.67510701081486
2024-11-15T13:46:24.642Z,28.95,-98.321,5.542,1.7,15671047.969978362,4477442.277136675,2238721.1385683375
2024-11-15T13:34:23.780Z,33.8101667,-117.6381667,5.24,1.23,3090993.1314731846,883140.8947066242,441570.4473533121
2024-11-15T13:31:36.010Z,35.6603333,-117.5623333,6.82,0.83,776422.3706836805,221834.96305248016,110917.48152624008
2024-11-15T13:14:34.385Z,58.9567,-154.4504,121.3,2.5,248369372.4635032,70962677.84671521,35481338.923357606
2024-11-15T12:48:57.912Z,64.8329,-148.7111,2.0,1.7,15671047.969978362,4477442.277136675,2238721.1385683375
2024-11-15T12:43:24.470Z,61.332666666667,-152.27166666667,-2.41,-0.55,6608.426134001458,1888.1217525718455,944.0608762859227
2024-11-15T12:43:16.140Z,19.382999420166,-155.23815917969,1.5900000333786,1.78,20658464.586664688,5902418.453332769,2951209.2266663844
